"Course Number","Course Title","Course Catalog Code","Course Department Code","Prim Assoc","Meeting Number","Class Meeting Days","Class Begin Time (24 Hour)","Class End Time (24 Hour)","Instructor Name","Print on Schedule (Y/N)","Campus Code","Building Code","Room Number","Session Code","Year","Section Status","Section Number"
"ANTH191  PO","Senior Thesis","UG12","PANT","PO",63733,"-------",0,0,"Mahdavi, Pardis","Y","","ARR","","FA",2012,"O","08"
"ANTH192  PO","Senior Project","UG12","PANT","PO",63725,"-------",0,0,"Gladney, Dru C.","Y","","ARR","","FA",2012,"O","04"
"ANTH192  PO","Senior Project","UG12","PANT","PO",63726,"-------",0,0,"Mahdavi, Pardis","Y","","ARR","","FA",2012,"O","08"
"ANTH199  SC","Independent St: Anthropology","UG12","SANT","SC",65467,"-------",0,0,"Staff","Y","SC","ARR","","FA",2012,"O","01"
"ARBC001  CM","Introductory Arabic","UG12","MMOD","CM",64930,"-MTWR--",900,950,"Ramadan, Ayman","Y","CM","KRV","164","FA",2012,"O","01"
"ARBC001  CM","Introductory Arabic","UG12","MMOD","CM",64932,"-MTWR--",1000,1050,"Ramadan, Ayman","Y","CM","KRV","164","FA",2012,"O","02"
"ARBC001  CM","Introductory Arabic","UG12","MMOD","CM",64935,"-MTWR--",1100,1150,"Ramadan, Ayman","Y","CM","KRV","164","FA",2012,"O","03"
"ARBC033  CM","Intermediate Arabic","UG12","MMOD","CM",64969,"-MTWR--",900,950,"Hayek, Ghenwa","Y","CM","KRV","161","FA",2012,"O","01"
"ARBC033  CM","Intermediate Arabic","UG12","MMOD","CM",64970,"-MTWR--",1000,1050,"Hayek, Ghenwa","Y","CM","KRV","161","FA",2012,"O","02"
"ARBC120  CM","Arabic Morphology & Syntax","UG12","MMOD","CM",65597,"--T----",1830,2130,"Frangieh, Bassam","Y","CM","RN","102","FA",2012,"O","01"
"ARBC166  CM","Modern Arab Culture & Thought","UG12","MMOD","CM",64971,"-M-W---",1315,1430,"Frangieh, Bassam","Y","CM","RN","102","FA",2012,"O","01"
"ARBC999  CM","Arabic Conversation","UG12","MMOD","CM",64939,"----R--",1900,2100,"Ramadan, Ayman","Y","CM","BC","FOR","FA",2012,"O","01"
"ARBC999  CM","Arabic Conversation","UG12","MMOD","CM",64939,"----R--",1900,2100,"Hayek, Ghenwa","Y","CM","BC","FOR","FA",2012,"O","01"
"ARBC999  CM","Arabic Conversation","UG12","MMOD","CM",64939,"----R--",1900,2100,"Frangieh, Bassam","Y","CM","BC","FOR","FA",2012,"O","01"
"ARCN101  SC","Topics in Art Conservation","UG12","SACN","SC",64727,"--T-R--",1445,1600,"Staff","Y","SC","HM","201","FA",2012,"O","01"
"ARHI051A PO","Intro Art History: Ancient World","UG12","PART","PO",63954,"-M-W---",1315,1430,"Emerick, Judson J.","Y","PO","LE","113","FA",2012,"O","01"
"ARHI051C PO","Intro Art Hist: 1200-Present","UG12","PART","PO",63958,"--T-R--",1445,1600,"Pohl, Frances K.","Y","PO","LE","113","FA",2012,"O","01"
"ARHI051C PZ","Intro Art Hist: 1200 to Present","UG12","ZARH","PZ",64803,"--T-R--",935,1050,"Anthes, Bill","Y","PZ","WST","P103","FA",2012,"O","01"
"ARHI135  PO","Art & Natlism: 19th Cty North Am","UG12","PART","PO",63959,"--T-R--",935,1050,"Pohl, Frances K.","Y","PO","LE","110","FA",2012,"O","01"
"ARHI144B PO","Daughters Africa Art Cinema Love","UG12","PART","PO",63956,"--T----",1315,1600,"Jackson, Phyllis J.","Y","PO","LE","201","FA",2012,"O","01"
"ARHI151  SC","The Arts of Japan","UG12","SARH","SC",64728,"--T-R--",1315,1430,"Coats, Bruce A.","Y","SC","HM","201","FA",2012,"O","01"
"ARHI170  PO","The Early Renaissance in Italy","UG12","PART","PO",63955,"-M-W---",1100,1215,"Gorse, George L.","Y","PO","LE","110","FA",2012,"O","01"
"ARHI178  PO","Black Aesth/Poli (Re)presentatn","UG12","PART","PO",63957,"----R--",1315,1600,"Jackson, Phyllis J.","Y","PO","LE","201","FA",2012,"O","01"
"ARHI186C SC","Seminar: Topics in Asian Art","UG12","SARH","SC",64729,"-M-W---",1315,1430,"Coats, Bruce A.","Y","SC","HM","201","FA",2012,"O","01"
"ARHI186K SC","Seminar in Modern Art","UG12","SARH","SC",64732,"-M-----",1445,1730,"Koss, Juliet","Y","SC","ST","101","FA",2012,"O","01"
"ARHI189  SC","European Modernism 1840-1940","UG12","SARH","SC",64733,"-M-W---",1200,1310,"Koss, Juliet","Y","SC","ST","101","FA",2012,"O","01"
"ARHI190  SC","Senior Seminar in Art History","UG12","SARH","SC",65615,"---W---",1445,1730,"Koss, Juliet","Y","CU","HD","H207","FA",2012,"O","01"
"ARHI199  SC","Independent Study in Art History","UG12","SARH","SC",65469,"-------",0,0,"Staff","Y","SC","ARR","","FA",2012,"O","01"
"ART 005  PO","Drawing I","UG12","PART","PO",63952,"--T-R--",900,1145,"Staff","Y","PO","REM","202","FA",2012,"O","01"
"ART 005  PO","Drawing I","UG12","PART","PO",63953,"--T-R--",1315,1600,"Staff","Y","PO","REM","202","FA",2012,"O","02"
"ART 010  PO","Painting I","UG12","PART","PO",63946,"-M-W---",1330,1600,"Mukherjee, Sandeep","Y","PO","REM","209","FA",2012,"O","01"
"ART 012  PZ","Fundamentals of Painting","UG12","ZART","PZ",64799,"--T-R--",900,1130,"McCoy, Jessica","Y","PZ","ATN","A108","FA",2012,"O","01"
"ART 020  PO","Black and White Photography","UG12","PART","PO",63951,"-M-W---",930,1200,"Staff","Y","PO","REM","204","FA",2012,"O","01"
"ART 021  PO","Foundations of Digital Design","UG12","PART","PO",63944,"--T-R--",930,1200,"Allen, Mark","Y","PO","REM","104","FA",2012,"O","01"
"ART 027  PO","Wood Sculpture","UG12","PART","PO",63948,"--T-R--",1330,1600,"O'Malley, Michael","Y","PO","REM","109","FA",2012,"O","01"
"ART 057  PZ","Mixed Media/Sculpture","UG12","ZART","PZ",64804,"--T-R--",910,1150,"Hendrickson, Arnie","Y","PZ","MC","EART","FA",2012,"O","01"
"ART 100A SC","Fundamentals of Art","UG12","SART","SC",64716,"--T-R--",1330,1600,"Davis, Adam","Y","SC","LA","203","FA",2012,"O","01"
"ART 101  SC","Beginning Painting","UG12","SART","SC",64718,"--T-R--",900,1130,"Blizzard, Alan","Y","SC","LA","209","FA",2012,"O","01"
"ART 102  SC","Intermediate & Advanced Painting","UG12","SART","SC",64721,"--T-R--",1315,1545,"Blizzard, Alan","Y","SC","LA","209","FA",2012,"O","01"
"ART 103  SC","Advanced Painting","UG12","SART","SC",64721,"--T-R--",1315,1545,"Blizzard, Alan","Y","SC","LA","209","FA",2012,"O","01"
"ART 105  SC","Beginning Drawing","UG12","SART","SC",64722,"-M-W---",1315,1545,"Blizzard, Alan","Y","SC","LA","203","FA",2012,"O","01"
"ART 111  PO","Topics in Contemporary Painting","UG12","PART","PO",63947,"-M-W---",915,1145,"Mukherjee, Sandeep","Y","PO","REM","209","FA",2012,"O","01"
"ART 113  PZ","Drawing Workshop","UG12","ZART","PZ",64797,"--T-R--",1315,1545,"McCoy, Jessica","Y","PZ","ATN","A105","FA",2012,"O","01"
"ART 116  PZ","Moldmaking","UG12","ZART","PZ",64800,"-M-W---",1315,1600,"Berg, Tim","Y","PZ","MC","EART","FA",2012,"O","01"
"ART 119  PO","Landscape/Placescape/Spacescape","UG12","PART","PO",63950,"-M-W---",1330,1600,"Staff","Y","PO","REM","204","FA",2012,"O","01"
"ART 120  SC","Beginning Wheel Throwing","UG12","SART","SC",64723,"-M-W---",1630,1900,"Staff","Y","SC","LCAB","100","FA",2012,"O","01"
"ART 121  SC","Beginning Ceramic Sculpture","UG12","SART","SC",64724,"-M-W---",1315,1545,"Staff","Y","SC","LCAB","100","FA",2012,"O","01"
"ART 122  SC","Intermediate & Advanced Ceramics","UG12","SART","SC",64725,"--T-R--",1000,1230,"Davis, Adam","Y","SC","LCAB","100","FA",2012,"O","01"
"ART 125  PZ","Digital Photography","UG12","ZART","PZ",64798,"-M-W---",900,1150,"Doty, Craig","Y","PZ","WST","P102","FA",2012,"O","01"
"ART 125  PZ","Digital Photography","UG12","ZART","PZ",64801,"-M-W---",1315,1600,"Doty, Craig","Y","PZ","WST","P102","FA",2012,"O","02"
"ART 131  PO","Sculptural Funct & Concep Design","UG12","PART","PO",65428,"-M-W---",1330,1600,"O'Malley, Michael","Y","PO","REM","109","FA",2012,"O","01"
"ART 135  SC","Typography and the Book Arts","UG12","SART","SC",64726,"-M-W---",1000,1230,"Maryatt, Kitty","Y","SC","LA","100","FA",2012,"O","01"
"ART 141  SC","Introduction to Digital Imaging","UG12","SART","SC",64730,"--T-R--",1000,1230,"Orser, Julie","Y","SC","ST","5","FA",2012,"O","01"
"ART 142  SC","Intermed/Adv Digital Imaging","UG12","SART","SC",64735,"-M-W---",1000,1230,"Cooper, Hollis","Y","SC","ST","5","FA",2012,"O","01"
"ART 145  SC","Beginning Photography","UG12","SART","SC",64737,"-M-W---",1315,1545,"Gonzales-Day, Ken","Y","SC","LA","119","FA",2012,"O","01"
"ART 148  SC","Introduction to Video","UG12","SART","SC",64739,"--T-R--",1000,1230,"Tran, Kim-Trang T.","Y","SC","LA","214","FA",2012,"O","01"
"ART 148  SC","Introduction to Video","UG12","SART","SC",64740,"--T-R--",1000,1230,"Tran, Kim-Trang T.","Y","SC","ST","5","FA",2012,"O","01"
"ART 181  SC","Topics in Art Theory","UG12","SART","SC",64835,"---W---",1445,1730,"Mann, Elana","Y","SC","ST","101","FA",2012,"O","01"
"ART 189  PZ","Art, Innovation & Exhibition","UG12","ZART","PZ",64802,"-M-W---",900,1130,"Berg, Tim","Y","PZ","MC","EART","FA",2012,"O","01"
"ART 189  PZ","Art, Innovation & Exhibition","UG12","ZART","PZ",64802,"-M-W---",900,1130,"McCoy, Jessica","Y","PZ","MC","EART","FA",2012,"O","01"
"ART 190  PO","Junior/Senior Art Major Seminar","UG12","PART","PO",63945,"--T-R--",1330,1600,"Allen, Mark","Y","PO","REM","104","FA",2012,"O","01"
"ART 192  SC","Sr Project & Seminar:Studio Arts","UG12","SART","SC",64836,"-M-----",1315,1600,"Rankaitis, Susan","Y","SC","LA","221","FA",2012,"O","01"
"ART 196  PZ","Artist Apprenticeship Internship","UG12","ZART","PZ",64806,"-----F-",0,0,"Ennis, Ciara","Y","PZ","ARR","","FA",2012,"O","01"
"ART 199  SC","Independent Study:  Studio Arts","UG12","SART","SC",65468,"-------",0,0,"Staff","Y","SC","ARR","","FA",2012,"O","01"
"AS  100  HM","The Air Force Today","UG12","HAFC","HM",63068,"-----F-",1300,1350,"Dagoc, Rolando","Y","HM","ARR","","FA",2012,"O","01"
"AS  100  HM","The Air Force Today","UG12","HAFC","HM",63068,"-----F-",1300,1350,"Ohta, Jason","Y","HM","ARR","","FA",2012,"O","01"
"AS  100  HM","The Air Force Today","UG12","HAFC","HM",63069,"-----F-",1300,1350,"Ohta, Jason","Y","HM","ARR","","FA",2012,"O","02"
"AS  100  HM","The Air Force Today","UG12","HAFC","HM",63069,"-----F-",1300,1350,"Dagoc, Rolando","Y","HM","ARR","","FA",2012,"O","02"
"AS  110  HM","AFROTC Leadership Laboratory","UG12","HAFC","HM",63070,"-----F-",1000,1200,"Whitson, Casey","Y","HM","ARR","","FA",2012,"O","01"
"AS  110  HM","AFROTC Leadership Laboratory","UG12","HAFC","HM",63070,"-----F-",1000,1200,"Dagoc, Rolando","Y","HM","ARR","","FA",2012,"O","01"
"AS  110  HM","AFROTC Leadership Laboratory","UG12","HAFC","HM",63070,"-----F-",1000,1200,"Ohta, Jason","Y","HM","ARR","","FA",2012,"O","01"
"AS  200  HM","USAF Air and Space Power","UG12","HAFC","HM",63071,"-----F-",1400,1450,"Dagoc, Rolando","Y","HM","ARR","","FA",2012,"O","01"
"AS  200  HM","USAF Air and Space Power","UG12","HAFC","HM",63071,"-----F-",1400,1450,"Ohta, Jason","Y","HM","ARR","","FA",2012,"O","01"
"AS  200  HM","USAF Air and Space Power","UG12","HAFC","HM",63071,"-----F-",1400,1450,"Dagoc, Rolando","Y","HM","ARR","","FA",2012,"O","02"
"AS  200  HM","USAF Air and Space Power","UG12","HAFC","HM",63071,"-----F-",1400,1450,"Ohta, Jason","Y","HM","ARR","","FA",2012,"O","02"
"AS  210  HM","AFROTC Leadership Laboratory","UG12","HAFC","HM",63072,"-----F-",1000,1200,"Whitson, Casey","Y","HM","ARR","","FA",2012,"O","01"
"AS  210  HM","AFROTC Leadership Laboratory","UG12","HAFC","HM",63072,"-----F-",1000,1200,"Dagoc, Rolando","Y","HM","ARR","","FA",2012,"O","01"
"AS  210  HM","AFROTC Leadership Laboratory","UG12","HAFC","HM",63072,"-----F-",1000,1200,"Ohta, Jason","Y","HM","ARR","","FA",2012,"O","01"
"AS  300  HM","Air Force Leadership/Management","UG12","HAFC","HM",63073,"-----F-",1300,1600,"Ohta, Jason","Y","HM","ARR","","FA",2012,"O","01"
"AS  300  HM","Air Force Leadership/Management","UG12","HAFC","HM",63073,"-----F-",1300,1600,"Whitson, Casey","Y","HM","ARR","","FA",2012,"O","01"
"AS  300  HM","Air Force Leadership/Management","UG12","HAFC","HM",63073,"-----F-",1300,1600,"Ohta, Jason","Y","HM","ARR","","FA",2012,"O","02"
"AS  300  HM","Air Force Leadership/Management","UG12","HAFC","HM",63073,"-----F-",1300,1600,"Whitson, Casey","Y","HM","ARR","","FA",2012,"O","02"
"AS  310  HM","AFROTC Leadership Laboratory","UG12","HAFC","HM",63074,"-----F-",1000,1200,"Dagoc, Rolando","Y","HM","ARR","","FA",2012,"O","01"
"AS  310  HM","AFROTC Leadership Laboratory","UG12","HAFC","HM",63074,"-----F-",1000,1200,"Whitson, Casey","Y","HM","ARR","","FA",2012,"O","01"
"AS  310  HM","AFROTC Leadership Laboratory","UG12","HAFC","HM",63074,"-----F-",1000,1200,"Ohta, Jason","Y","HM","ARR","","FA",2012,"O","01"
"AS  400  HM","National Security Affairs","UG12","HAFC","HM",63075,"-----F-",1300,1600,"Ohta, Jason","Y","HM","ARR","","FA",2012,"O","01"
"AS  400  HM","National Security Affairs","UG12","HAFC","HM",63075,"-----F-",1300,1600,"Dagoc, Rolando","Y","HM","ARR","","FA",2012,"O","01"
"AS  410  HM","AFROTC Leadership Laboratory","UG12","HAFC","HM",63076,"-----F-",1000,1200,"Ohta, Jason","Y","HM","ARR","","FA",2012,"O","01"
"AS  410  HM","AFROTC Leadership Laboratory","UG12","HAFC","HM",63076,"-----F-",1000,1200,"Dagoc, Rolando","Y","HM","ARR","","FA",2012,"O","01"
"AS  410  HM","AFROTC Leadership Laboratory","UG12","HAFC","HM",63076,"-----F-",1000,1200,"Whitson, Casey","Y","HM","ARR","","FA",2012,"O","01"
"ASAM082  PZ","Racial Politics of Teaching","UG12","ZAAS","PZ",64235,"--T-R--",1445,1600,"Fought, Carmen","Y","PO","LINC","1121","FA",2012,"O","01"
"ASAM082  PZ","Racial Politics of Teaching","UG12","ZAAS","PZ",64235,"--T-R--",1445,1600,"Yep, Kathleen","Y","PO","LINC","1121","FA",2012,"O","01"
"ASAM102  PZ","Fieldwork: Asian Americans","UG12","ZAAS","PZ",64227,"-M-----",1800,2100,"Yep, Kathleen","Y","PZ","BH","210","FA",2012,"O","01"
"ASAM115  PZ","Theories and Methods","UG12","ZAAS","PZ",64230,"--T-R--",1200,1310,"Yep, Kathleen","Y","PZ","ATN","A103","FA",2012,"O","01"
"ASAM135  PZ","Filam Experiences","UG12","ZAAS","PZ",64231,"--T----",1800,2100,"Honma, Todd","Y","PZ","BH","204","FA",2012,"O","01"
"ASAM179C AA","SpecialTopics/Asian-AmerStudies: Queering Asian America","UG12","HASM","HM",65623,"-----F-",1315,1600,"Staff","Y","HM","LAC","RIGS","FA",2012,"O","01"
"ASAM190  PO","Senior Seminar","UG12","PAAS","PO",63977,"-M-W---",1100,1215,"Goto, Sharon G.","Y","PO","LINC","1121","FA",2012,"O","01"
"ASAM199  SC","Independent St: Asian Amer St","UG12","SAAS","SC",65470,"-------",0,0,"Staff","Y","SC","ARR","","FA",2012,"O","01"
"ASIA190  PO","Senior Thesis Seminar","UG12","PASI","PO",63978,"-----F-",1445,1600,"Staff","Y","PO","MA","23","FA",2012,"O","01"
"ASTR001  PO","Introductory Astronomy w/Lab","UG12","PPHY","PO",64354,"--T-R--",1315,1430,"Staff","Y","PO","ML","134","FA",2012,"O","01"
"ASTR001 LPO","Lab, Introductory Astronomy","UG12","PPHY","PO",64355,"---W---",1900,2150,"Staff","Y","","TBA","","FA",2012,"O","01"
"ASTR066L KS","Elementary Astronomy","UG12","CAST","SC",64236,"-M-W---",1315,1430,"Dershem, Thomas","Y","CU","KS","B31","FA",2012,"O","01"
"ASTR101  PO","Techn in Observtnal Astrophysics","UG12","PPHY","PO",64370,"--T-R--",1315,1430,"Choi, Philip I.","Y","PO","AN","158","FA",2012,"O","01"
"ASTR101 LPO","Lab, Observational Astrophysics","UG12","PPHY","PO",64371,"---W---",1900,2150,"Choi, Philip I.","Y","PO","BT","OBSR","FA",2012,"O","01"
"BIOL039L KS","Analyses of Human Motor Skills","UG12","CBIO","SC",64239,"--T-R--",1445,1600,"Milton, John G.","Y","CU","KS","B31","FA",2012,"O","01"
"BIOL040  PO","Introductory Genetics w/Lab","UG12","PBIO","PO",65573,"-------",0,0,"Cavalcanti, Andre","Y","","","","FA",2012,"O","01"
"BIOL040  PO","Introductory Genetics w/Lab","UG12","PBIO","PO",65573,"-------",0,0,"Martinez, Daniel E.","Y","","","","FA",2012,"O","01"
"BIOL040  PO","Introductory Genetics w/Lab","UG12","PBIO","PO",65573,"-------",0,0,"Seligman, Lenny M.","Y","","","","FA",2012,"O","01"
"BIOL040  PO","Introductory Genetics w/Lab","UG12","PBIO","PO",64043,"-M-----",1315,1700,"Staff","Y","PO","SE","122","FA",2012,"O","01"
"BIOL040  PO","Introductory Genetics w/Lab","UG12","PBIO","PO",64028,"-M-W-F-",1000,1050,"Staff","Y","PO","SCOM","102","FA",2012,"O","01"
"BIOL040  PO","Introductory Genetics w/Lab","UG12","PBIO","PO",65574,"-------",0,0,"Seligman, Lenny M.","Y","","","","FA",2012,"O","02"
"BIOL040  PO","Introductory Genetics w/Lab","UG12","PBIO","PO",65574,"-------",0,0,"Martinez, Daniel E.","Y","","","","FA",2012,"O","02"
"BIOL040  PO","Introductory Genetics w/Lab","UG12","PBIO","PO",65574,"-------",0,0,"Cavalcanti, Andre","Y","","","","FA",2012,"O","02"
"BIOL040  PO","Introductory Genetics w/Lab","UG12","PBIO","PO",64029,"-M-W-F-",900,950,"Staff","Y","PO","SCOM","102","FA",2012,"O","02"
